,Player,Short Name,Player ID,Birthdate,Team,Competition,Season,Season ID,Position Group,Minutes,PSV-99,TOP 5 PSV-99,Total Distance P90,M/min P90,Running Distance P90,HSR Distance P90,HSR Count P90,Sprinting Distance P90,Sprint Count P90,HI Distance P90,HI Count P90,Medium Acceleration Count P90,High Acceleration Count P90,Medium Deceleration Count P90,High Deceleration Count P90,Explosive Acceleration to HSR Count P90,Explosive Acceleration to Sprint Count P90,Note xPhysical,Note xPhy TOP 5 PSV-99,Note xPhy HI Distance P90,Note xPhy Total Distance P90,Note xPhy HSR Distance P90,Note xPhy Sprinting Distance P90,Note xPhy Sprint Count P90,Note xPhy High Acceleration Count P90,Note xPhy_max,xPhysical,Age
13,Adam Armstrong,A. Armstrong,168,1997-02-10,Southampton,ENG - Premier League,2024/2025,95,Center Forward,79.68,30.23,30.74,9460.69,105.12,1196.71,506.58,52.95,210.37,11.58,716.95,64.52,101.23,8.33,81.89,17.65,6.21,2.82,17,6,1,1,1,3,3,2,50,34.0,28.0
14,Adam Armstrong,A. Armstrong,168,1997-02-10,Southampton,ENG - Championship,2023/2024,28,Center Forward,93.58,30.4,32.1,9261.85,102.91,1099.45,442.54,51.84,201.46,11.27,644.0,63.11,97.55,9.3,79.69,18.46,7.37,2.11,19,10,0,0,0,3,3,3,50,38.0,28.0
15,Adam Armstrong,A. Armstrong,168,1997-02-10,Southampton,ENG - Premier League,2024/2025,95,Wide Attacker,93.93,30.14,30.14,9543.7,106.04,1204.17,600.17,66.49,272.11,14.76,872.28,81.25,101.56,8.24,88.91,16.86,7.09,2.87,18,0,2,0,1,5,5,5,56,32.0,28.0
16,Adam Armstrong,A. Armstrong,168,1997-02-10,Southampton,ENG - Championship,2023/2024,28,Wide Attacker,91.44,30.53,31.72,9486.65,105.41,1201.56,510.27,58.4,261.91,14.3,772.19,72.7,102.04,8.95,84.23,19.92,6.84,2.95,23,6,0,0,0,5,5,7,56,41.0,28.0
17,Adam Buksa,A. Buksa,173,1996-07-12,FC Midtjylland,UEFA - Europa League,2024/2025,95,Center Forward,98.1,26.9,27.58,9973.02,110.81,1470.7,569.75,50.0,97.83,6.65,667.57,56.65,107.57,7.11,90.26,12.04,4.59,0.34,8,0,1,3,3,0,0,1,50,16.0,29.0
18,Adam Buksa,A. Buksa,173,1996-07-12,FC Midtjylland,DEN - Superliga,2024/2025,95,Center Forward,92.11,27.27,28.22,9999.49,111.11,1404.94,512.75,48.12,100.48,6.84,613.23,54.96,107.0,7.57,91.28,13.35,4.56,1.06,8,0,0,5,1,0,0,2,50,16.0,29.0
19,Adam Lallana,A. Lallana,192,1988-05-10,Brighton and Hove Albion,ENG - Premier League,2023/2024,28,Midfield,63.43,23.55,23.94,11218.08,124.65,2022.99,332.48,29.56,16.08,0.47,348.55,30.03,115.63,4.02,113.98,9.22,2.13,0.0,13,0,0,10,0,0,0,3,46,28.0,37.0
20,Adam Marušić,A. Marušić,196,1992-10-17,Lazio,ITA - Serie A,2023/2024,28,Full Back,95.12,30.45,32.24,10188.47,113.21,1368.24,595.13,59.69,227.16,12.41,822.29,72.11,105.65,6.82,86.99,19.47,5.28,2.49,31,14,2,5,3,3,3,1,53,58.0,33.0
21,Adam Marušić,A. Marušić,196,1992-10-17,Lazio,ITA - Serie A,2024/2025,95,Full Back,93.3,30.09,31.38,9511.87,105.69,1130.56,485.97,51.22,211.92,10.61,697.89,61.83,102.1,6.99,83.87,18.13,4.73,1.54,11,6,0,0,0,3,1,1,53,21.0,33.0
22,Adam Marušić,A. Marušić,196,1992-10-17,Lazio,UEFA - Europa League,2024/2025,95,Full Back,93.4,31.45,32.2,9445.62,104.95,1032.92,459.36,51.27,272.9,11.95,732.26,63.21,99.64,7.32,80.17,18.79,5.59,2.6,28,14,1,0,0,7,3,3,53,53.0,33.0
23,Adam Masina,A. Masina,197,1994-01-02,Torino,ITA - Serie A,2023/2024,28,Central Defender,91.82,28.25,29.22,10057.58,111.75,1443.67,481.7,43.22,145.42,7.4,627.12,50.61,107.91,5.52,87.06,10.43,3.48,1.16,35,0,4,7,7,7,5,5,51,69.0,31.0
24,Adam Masina,A. Masina,197,1994-01-02,Torino,ITA - Serie A,2024/2025,95,Central Defender,92.95,28.63,30.12,10060.82,111.79,1376.64,451.13,40.45,138.62,6.99,589.75,47.44,104.08,4.09,85.15,9.57,2.42,0.75,32,3,4,7,7,5,5,1,51,63.0,31.0
25,Adam Smith,A. Smith,209,1991-04-29,Bournemouth,ENG - Premier League,2023/2024,28,Full Back,96.08,29.74,31.64,9491.71,105.46,1390.48,615.78,59.91,250.4,12.18,866.18,72.09,109.28,7.17,91.07,17.47,4.93,1.79,25,10,3,0,3,5,3,1,53,47.0,34.0
26,Adam Smith,A. Smith,209,1991-04-29,Bournemouth,ENG - Premier League,2024/2025,95,Full Back,84.0,29.14,30.8,9745.74,108.29,1476.19,600.65,55.98,205.64,10.78,806.3,66.76,107.68,6.76,91.0,16.47,4.82,1.27,15,4,2,1,3,3,1,1,53,28.0,34.0
27,Adama Noss Traoré,A. Traoré,219,1995-06-28,Hull City,ENG - Championship,2023/2024,28,Wide Attacker,79.43,26.77,26.98,10586.24,117.62,1683.68,585.77,52.87,104.99,8.12,690.77,60.99,115.38,6.04,99.33,17.56,4.53,0.76,6,0,0,5,1,0,0,0,56,11.0,30.0
28,Aderllan Leandro de Jesus Santos,Aderllan Santos,223,1989-04-09,Rio Ave FC,POR - Primeira Liga,2023/2024,28,Central Defender,99.6,29.46,31.8,9037.43,100.42,1015.15,387.6,38.53,134.31,7.29,521.91,45.82,93.62,4.61,74.91,12.82,3.15,1.02,32,12,3,1,5,5,5,1,51,63.0,36.0
29,Aderllan Leandro de Jesus Santos,Aderllan Santos,223,1989-04-09,Rio Ave FC,POR - Primeira Liga,2024/2025,95,Central Defender,96.58,29.27,30.36,8920.94,99.12,961.76,333.83,36.78,128.33,7.13,462.16,43.91,96.81,4.28,76.52,14.47,2.91,0.93,21,6,2,1,1,5,5,1,51,41.0,36.0
30,Aderllan Leandro de Jesus Santos,Aderllan Santos,223,1989-04-09,AVS Futebol SAD,POR - Primeira Liga,2024/2025,95,Central Defender,92.85,29.13,29.54,8947.33,99.41,926.82,381.91,39.1,144.1,8.56,526.01,47.66,93.21,4.68,73.83,13.57,2.75,0.0,24,0,3,1,3,7,7,3,51,47.0,36.0
31,Adrián Embarba Blázquez,Adri Embarba,246,1992-05-07,UD Almería,ESP - LaLiga,2023/2024,28,Wide Attacker,88.28,29.22,30.62,10598.1,117.76,1599.93,738.75,70.5,285.82,16.08,1024.57,86.58,109.48,7.61,92.19,16.43,5.76,2.08,34,4,3,7,7,5,5,3,56,61.0,33.0
32,Adrián Embarba Blázquez,Adri Embarba,246,1992-05-07,Rayo Vallecano,ESP - LaLiga,2024/2025,95,Wide Attacker,75.1,28.84,29.4,10843.69,120.49,1727.22,833.87,79.09,295.13,17.76,1129.0,96.85,112.87,7.84,95.22,19.39,5.01,0.76,35,0,4,7,7,5,7,5,56,62.0,33.0
33,Adrián Marín Gómez,Adrián Marín,252,1997-01-09,SC Braga,UEFA - Europa League,2024/2025,95,Full Back,88.09,28.04,28.46,9455.4,105.06,1138.6,506.27,48.15,132.19,8.68,638.46,56.83,105.62,6.13,87.49,21.71,4.6,0.89,0,0,0,0,0,0,0,0,53,0.0,28.0
34,Adrián Marín Gómez,Adrián Marín,252,1997-01-09,SC Braga,POR - Primeira Liga,2024/2025,95,Full Back,92.23,28.18,28.5,9372.54,104.14,1150.97,445.46,45.38,126.53,8.78,571.99,54.16,104.74,5.69,84.9,16.43,4.07,0.81,0,0,0,0,0,0,0,0,53,0.0,28.0
35,Adrien Rabiot,A. Rabiot,277,1995-04-03,Olympique de Marseille,FRA - Ligue 1,2024/2025,95,Midfield,99.08,28.97,30.1,10927.37,121.42,1810.32,775.1,69.56,220.21,12.85,995.31,82.4,119.39,4.74,97.13,17.71,3.31,0.84,41,10,4,7,7,4,4,5,46,89.0,30.0
36,Adrien Rabiot,A. Rabiot,277,1995-04-03,Juventus,ITA - Serie A,2023/2024,28,Midfield,97.79,28.92,30.92,10571.28,117.46,1609.63,617.59,55.67,199.14,10.35,816.73,66.01,108.92,3.49,93.62,12.88,2.41,0.76,30,10,3,3,5,4,4,1,46,65.0,30.0
37,Adrien Rabiot,A. Rabiot,277,1995-04-03,Olympique de Marseille,FRA - Ligue 1,2024/2025,95,Wide Attacker,98.53,29.54,30.24,10984.61,122.05,1802.88,729.61,71.04,282.24,15.33,1011.86,86.37,113.16,5.58,90.73,18.78,4.67,2.33,31,4,3,7,7,5,5,0,56,55.0,30.0
38,Adrien Thomasson,A. Thomasson,281,1993-12-10,RC Lens,FRA - Ligue 1,2024/2025,95,Midfield,94.17,27.06,28.46,11903.58,132.26,2660.55,1003.73,80.39,184.03,11.32,1187.76,91.71,133.65,5.39,105.78,25.69,3.33,0.46,41,5,4,10,7,4,4,7,46,89.0,32.0
39,Adrien Thomasson,A. Thomasson,281,1993-12-10,RC Lens,FRA - Ligue 1,2023/2024,28,Wide Attacker,74.36,27.01,27.64,12579.69,139.77,2683.53,1098.56,84.86,170.12,12.64,1268.67,97.5,142.68,7.13,109.33,25.95,5.38,0.81,24,0,4,7,7,0,3,3,56,43.0,32.0
40,Ahmed Hassan Mahgoub,Ahmed Hassan,296,1993-03-05,Le Havre AC,FRA - Ligue 1,2024/2025,95,Center Forward,77.11,26.79,27.56,10822.82,120.25,1741.55,630.27,57.19,121.39,8.3,751.66,65.49,103.23,6.87,80.54,17.38,4.02,0.52,15,0,1,7,5,0,1,1,50,30.0,32.0
41,Aïssa Bilal Laïdouni,A. Laïdouni,313,1996-12-13,FC Union Berlin,GER - Bundesliga,2023/2024,28,Midfield,84.78,27.77,29.42,10860.51,120.67,1720.67,567.72,48.62,129.83,5.84,697.54,54.46,98.51,3.18,85.77,12.53,2.44,0.64,21,7,2,5,3,2,1,1,46,46.0,29.0
42,Aïssa Mandi,A. Mandi,314,1991-10-22,LOSC Lille,FRA - Ligue 1,2024/2025,95,Central Defender,94.42,28.02,28.62,9469.98,105.22,1126.99,379.21,34.0,105.17,5.72,484.38,39.72,95.48,3.18,72.6,9.53,1.91,1.11,14,0,2,5,3,3,1,0,51,27.0,34.0
43,Aïssa Mandi,A. Mandi,314,1991-10-22,Villarreal CF,ESP - LaLiga,2023/2024,28,Central Defender,99.06,27.57,28.84,9258.25,102.87,1076.98,346.0,31.3,70.04,5.04,416.04,36.34,93.09,3.72,73.84,8.84,2.56,0.33,6,0,1,3,1,0,1,0,51,12.0,34.0
44,Aïssa Mandi,A. Mandi,314,1991-10-22,LOSC Lille,FRA - Ligue 1,2024/2025,95,Full Back,90.24,28.16,28.96,9565.22,106.28,1251.18,470.51,43.99,149.26,8.2,619.77,52.19,95.08,4.43,78.57,12.97,2.55,0.66,1,0,0,1,0,0,0,0,53,2.0,34.0
45,Alassane Pléa,A. Pléa,348,1993-03-10,Borussia Mönchengladbach,GER - Bundesliga,2023/2024,28,Center Forward,84.01,27.65,28.76,10034.92,111.5,1396.0,507.85,44.99,121.43,6.68,629.28,51.67,103.79,5.1,84.88,13.42,3.4,0.76,6,0,0,5,1,0,0,0,50,12.0,32.0
46,Alassane Pléa,A. Pléa,348,1993-03-10,Borussia Mönchengladbach,GER - Bundesliga,2024/2025,95,Midfield,77.76,28.14,29.46,10120.54,112.45,1437.69,509.71,43.98,134.64,6.48,644.35,50.46,99.3,3.55,84.95,12.27,2.39,0.46,14,7,1,0,1,2,2,1,46,30.0,32.0
47,Alassane Pléa,A. Pléa,348,1993-03-10,Borussia Mönchengladbach,GER - Bundesliga,2024/2025,95,Wide Attacker,89.77,27.5,27.5,10190.64,113.23,1437.87,629.61,52.73,142.36,7.82,771.97,60.55,107.07,4.81,89.63,14.84,3.41,0.4,6,0,0,3,3,0,0,0,56,11.0,32.0
48,Alberto Grassi,A. Grassi,375,1995-03-07,Empoli,ITA - Serie A,2023/2024,28,Midfield,88.67,26.82,28.02,11253.53,125.04,2039.53,582.32,45.99,90.71,5.66,673.02,51.66,105.45,2.72,95.99,11.32,1.5,0.27,20,3,2,10,3,1,1,0,46,43.0,30.0
49,Alberto Grassi,A. Grassi,375,1995-03-07,Empoli,ITA - Serie A,2024/2025,95,Midfield,85.3,27.73,29.24,11193.35,124.37,2028.62,644.89,52.49,150.96,7.65,795.85,60.14,106.38,3.3,95.53,11.34,2.46,0.62,28,7,3,7,5,3,2,1,46,61.0,30.0
50,Alberto Moreno Pérez  ,Alberto Moreno,380,1992-07-05,Villarreal CF,ESP - LaLiga,2023/2024,28,Full Back,82.41,30.42,31.54,9955.38,110.62,1291.3,533.37,56.96,236.06,12.69,769.44,69.64,108.04,8.32,92.07,17.73,6.3,3.02,26,10,1,3,1,3,3,5,53,49.0,33.0
51,Alberto Moreno Pérez  ,Alberto Moreno,380,1992-07-05,Como 1907,ITA - Serie A,2024/2025,95,Full Back,87.87,29.68,31.44,10021.47,111.35,1317.75,570.15,56.4,222.34,12.61,792.48,69.01,100.96,6.27,86.3,15.17,5.38,1.92,19,6,2,3,1,3,3,1,53,36.0,33.0
52,Alejandro Grimaldo García,Álex Grimaldo,413,1995-09-20,Bayer 04 Leverkusen,GER - Bundesliga,2023/2024,28,Full Back,96.39,28.8,30.52,10985.8,122.06,1615.07,649.55,58.04,209.18,11.6,858.72,69.64,108.01,5.69,90.21,17.38,4.22,1.39,24,4,2,7,5,3,3,0,53,45.0,30.0
53,Alejandro Grimaldo García,Álex Grimaldo,413,1995-09-20,Bayer 04 Leverkusen,GER - Bundesliga,2024/2025,95,Full Back,94.14,28.6,30.0,10994.96,122.17,1665.82,673.86,59.28,197.15,11.11,871.01,70.39,104.01,5.38,86.68,16.49,3.82,1.47,17,0,3,7,5,1,1,0,53,32.0,30.0
54,Alejandro Grimaldo García,Álex Grimaldo,413,1995-09-20,Bayer 04 Leverkusen,UEFA - Europa League,2023/2024,28,Full Back,92.78,28.64,29.28,11001.9,122.24,1697.41,672.37,60.56,224.35,11.92,896.72,72.47,107.12,5.4,85.22,17.88,4.02,2.36,21,0,3,7,5,3,3,0,53,40.0,30.0
55,Aleksandar Trajkovski,A. Trajkovski,433,1992-09-05,HNK Hajduk Split,CRO - 1.HNL,2023/2024,28,Center Forward,73.89,29.71,30.62,10236.8,113.74,1388.75,595.79,60.75,194.89,11.11,790.68,71.87,107.49,6.09,86.79,15.68,4.72,1.52,22,4,2,5,5,3,3,0,50,44.0,33.0
56,Alen Halilović,A. Halilović,442,1996-06-18,Fortuna Sittard,NED - Eredivisie,2023/2024,28,Midfield,87.65,25.6,27.76,10301.6,114.46,1703.07,441.39,33.93,56.33,2.69,497.72,36.62,104.0,3.52,92.27,10.17,2.25,0.44,7,3,0,3,0,0,0,1,46,15.0,29.0
57,Alen Halilović,A. Halilović,442,1996-06-18,Fortuna Sittard,NED - Eredivisie,2024/2025,95,Midfield,79.01,25.87,26.6,10597.12,117.75,1862.78,571.82,43.79,73.53,4.05,645.35,47.84,106.57,3.67,93.4,11.9,1.9,0.13,8,0,1,3,3,0,0,1,46,17.0,29.0
58,Alen Halilović,A. Halilović,442,1996-06-18,Fortuna Sittard,NED - Eredivisie,2024/2025,95,Wide Attacker,83.49,25.64,26.7,10318.5,114.65,1838.93,471.32,32.94,50.67,2.87,521.99,35.81,101.33,3.71,84.92,12.34,1.68,0.24,5,0,0,5,0,0,0,0,56,9.0,29.0
59,Alessandro  Florenzi,A. Florenzi,456,1991-03-11,Milan,ITA - Serie A,2023/2024,28,Full Back,86.82,28.52,30.14,9783.52,108.71,1317.2,473.6,44.8,129.69,7.31,603.29,52.12,104.0,6.16,89.2,13.13,3.86,0.75,5,4,0,1,0,0,0,0,53,9.0,34.0
60,Alessio da Cruz,Alessio Da Cruz,478,1997-01-18,Fortuna Sittard,NED - Eredivisie,2024/2025,95,Center Forward,90.98,28.99,30.28,10048.89,111.65,1225.73,517.46,51.24,182.51,10.78,699.97,62.02,91.8,5.64,72.31,13.26,4.25,1.19,17,4,1,5,1,3,3,0,50,34.0,28.0
61,Alessio Romagnoli,A. Romagnoli,480,1995-01-12,Lazio,ITA - Serie A,2023/2024,28,Central Defender,97.47,27.43,29.02,9851.59,109.46,1215.34,383.36,33.21,68.4,4.19,451.76,37.4,95.18,3.23,81.12,7.71,1.28,0.11,12,0,2,7,3,0,0,0,51,24.0,30.0
62,Alessio Romagnoli,A. Romagnoli,480,1995-01-12,Lazio,ITA - Serie A,2024/2025,95,Central Defender,96.51,27.6,29.48,9212.65,102.36,974.57,302.74,27.47,74.29,4.04,377.03,31.51,86.73,3.5,70.76,7.65,1.44,0.54,1,0,0,1,0,0,0,0,51,2.0,30.0
63,Alessio Romagnoli,A. Romagnoli,480,1995-01-12,Lazio,UEFA - Europa League,2024/2025,95,Central Defender,98.1,26.85,27.8,9027.26,100.3,969.86,295.99,27.06,63.65,3.56,359.64,30.62,87.85,3.67,73.4,9.52,1.49,0.0,1,0,0,1,0,0,0,0,51,2.0,30.0
64,Alex Iwobi,A. Iwobi,494,1996-05-03,Fulham,ENG - Premier League,2023/2024,28,Midfield,90.67,30.07,30.42,10681.88,118.69,1809.6,680.29,70.97,292.17,15.06,972.46,86.03,127.56,8.11,107.87,15.39,5.29,1.49,41,10,4,5,7,4,4,7,46,89.0,29.0
65,Alex Iwobi,A. Iwobi,494,1996-05-03,Fulham,ENG - Premier League,2023/2024,28,Wide Attacker,91.55,30.4,31.54,10100.05,112.22,1471.47,677.4,73.24,351.32,17.76,1028.72,91.0,119.93,9.52,101.99,18.49,7.43,2.46,38,6,3,3,5,7,7,7,56,68.0,29.0
66,Alex Iwobi,A. Iwobi,494,1996-05-03,Fulham,ENG - Premier League,2024/2025,95,Wide Attacker,91.34,29.41,31.18,10054.93,111.72,1519.25,663.54,64.87,253.31,13.38,916.85,78.25,117.87,8.01,99.72,18.19,5.75,1.68,23,4,2,3,3,3,3,5,56,41.0,29.0
67,Alex Sandro Lobo Silva,Alex Sandro,510,1991-01-26,Juventus,ITA - Serie A,2023/2024,28,Central Defender,95.66,28.07,28.52,10248.54,113.87,1282.63,411.55,34.27,90.45,5.24,502.0,39.52,99.46,4.3,80.37,8.6,3.36,0.81,18,0,3,7,5,1,1,1,51,35.0,34.0
68,Alex Nicolao Telles,Alex Telles,515,1992-12-15,Botafogo de Futebol e Regatas,BRA - Série A,2024/2024,29,Full Back,82.16,30.15,30.9,9490.9,105.45,1243.78,497.98,50.25,224.0,10.95,721.98,61.2,100.91,8.63,84.62,17.53,5.48,2.46,14,4,1,0,0,3,1,5,53,26.0,33.0
69,Alexander Djiku,A. Djiku,527,1994-08-09,Fenerbahce,UEFA - Europa League,2024/2025,95,Central Defender,97.32,27.47,27.82,9603.55,106.71,1271.36,415.37,32.9,81.78,5.02,497.15,37.92,108.73,5.68,86.4,12.95,3.96,1.45,19,0,3,5,5,0,1,5,51,37.0,31.0
70,Aleksandar Dragović,A. Dragović,528,1991-03-06,Austria Wien,AUT - Bundesliga,2024/2025,95,Central Defender,94.05,28.06,29.4,9209.53,102.33,1058.08,319.03,30.04,79.88,4.58,398.92,34.62,96.15,4.37,73.64,11.36,2.25,0.71,3,0,1,1,0,0,0,1,51,6.0,34.0
71,Alexandre Lacazette,A. Lacazette,560,1991-05-28,Olympique Lyonnais,FRA - Ligue 1,2023/2024,28,Center Forward,93.32,28.34,29.72,9323.5,103.59,1182.79,548.78,52.72,157.53,9.72,706.3,62.45,103.24,9.6,88.37,16.36,6.55,2.25,8,0,1,0,1,1,1,4,50,16.0,34.0
72,Alexandre Lacazette,A. Lacazette,560,1991-05-28,Olympique Lyonnais,FRA - Ligue 1,2024/2025,95,Center Forward,86.38,28.65,30.62,9188.07,102.09,1211.56,570.97,57.26,174.52,10.09,745.49,67.35,105.19,11.84,85.72,18.71,8.81,2.56,14,4,1,0,3,1,1,4,50,28.0,34.0
73,Alexis Blin,A. Blin,575,1996-09-16,Lecce,ITA - Serie A,2023/2024,28,Midfield,86.92,26.13,27.54,10886.46,120.96,1832.62,537.01,48.21,82.45,5.11,619.46,53.33,112.09,3.56,93.64,13.14,1.81,0.19,10,0,1,5,1,1,1,1,46,22.0,29.0
74,Alexis Blin,A. Blin,575,1996-09-16,Palermo,ITA - Serie B,2024/2025,95,Midfield,86.86,26.8,27.58,10931.07,121.46,2062.46,584.18,47.25,96.78,6.01,680.96,53.26,112.84,3.0,89.21,14.4,1.87,0.73,14,0,2,7,3,1,1,0,46,30.0,29.0
75,Alexis De Sart,A. De Sart,576,1996-11-12,Racing White Daring Molenbeek,BEL - Pro League,2023/2024,28,Midfield,97.08,27.24,27.24,10786.09,119.85,1758.41,534.72,49.32,114.58,6.86,649.3,56.18,97.15,2.97,83.43,11.12,1.48,0.37,11,0,1,5,1,2,2,0,46,24.0,29.0
76,Alexis Alejandro Sánchez Sánchez,A. Sánchez,579,1988-12-19,Inter Milan,ITA - Serie A,2023/2024,28,Center Forward,86.91,29.3,29.3,9572.5,106.36,1084.18,441.96,48.67,172.93,10.15,614.89,58.82,100.65,5.8,84.71,12.84,3.31,1.24,3,0,0,1,0,1,1,0,50,6.0,37.0
77,Alfonso Pedraza Sag ,Alfonso Pedraza,585,1996-04-09,Villarreal CF,ESP - LaLiga,2023/2024,28,Full Back,90.24,30.5,31.72,9829.62,109.22,1302.58,664.0,63.33,305.87,15.86,969.88,79.19,114.19,7.68,96.44,20.05,4.79,1.99,39,10,4,3,5,7,7,3,53,74.0,29.0
78,Joseph Alfred Duncan,A. Duncan,587,1993-03-10,Fiorentina,ITA - Serie A,2023/2024,28,Midfield,85.67,28.23,29.66,9436.11,104.85,1148.48,368.42,35.61,110.46,5.52,478.88,41.13,94.65,4.04,81.05,13.03,2.05,0.53,13,7,0,0,0,2,1,3,46,28.0,32.0
79,Joseph Alfred Duncan,A. Duncan,587,1993-03-10,Venezia,ITA - Serie A,2024/2025,95,Midfield,83.43,27.68,28.76,9797.32,108.86,1290.42,384.44,33.74,84.83,4.02,469.27,37.76,105.62,4.02,88.85,11.96,2.55,0.69,9,5,0,0,0,1,0,3,46,20.0,32.0
80,Alfred Finnbogason,A. Finnbogason,588,1989-02-01,KAS Eupen,BEL - Pro League,2023/2024,28,Center Forward,80.93,27.81,28.56,10574.76,117.5,1559.93,594.96,56.92,137.29,9.1,732.25,66.02,130.92,8.09,104.64,21.23,4.95,1.62,15,0,1,7,3,1,1,2,50,30.0,36.0
81,Alireza Jahanbakhsh,A. Jahanbakhsh,609,1993-08-11,SC Heerenveen,NED - Eredivisie,2024/2025,95,Wide Attacker,90.09,27.88,29.12,10133.09,112.59,1564.73,629.89,56.13,150.98,8.8,780.87,64.94,112.89,8.62,94.66,21.17,6.06,1.5,12,0,1,3,3,0,0,5,56,21.0,32.0
